Backscattered Energy
Energy (KeV)	Hits (Normalized)
3.00601	0.0024778
3.02605	0.00175511
3.04609	0.00216808
3.06613	0.00185835
3.08617	0.00196159
3.10621	0.00185835
3.12625	0.00227132
3.14629	0.00299401
3.16633	0.00216808
3.18637	0.00206484
3.20641	0.00185835
3.22645	0.00216808
3.24649	0.0012389
3.26653	0.00237456
3.28657	0.00237456
3.30661	0.00154863
3.32665	0.00237456
3.34669	0.00175511
3.36673	0.00196159
3.38677	0.00185835
3.40681	0.00216808
3.42685	0.00134214
3.44689	0.00309725
3.46693	0.0024778
3.48697	0.00196159
3.50701	0.00299401
3.52705	0.00196159
3.54709	0.00237456
3.56713	0.00258104
3.58717	0.00278753
3.60721	0.00206484
3.62725	0.00258104
3.64729	0.00268429
3.66733	0.00278753
3.68737	0.00289077
3.70741	0.00258104
3.72745	0.00289077
3.74749	0.00206484
3.76754	0.0012389
3.78758	0.00154863
3.80762	0.00309725
3.82766	0.00258104
3.8477	0.00216808
3.86774	0.00227132
3.88778	0.00299401
3.90782	0.00299401
3.92786	0.00289077
3.9479	0.00196159
3.96794	0.00227132
3.98798	0.0032005
4.00802	0.00278753
4.02806	0.00196159
4.0481	0.00330374
4.06814	0.00258104
4.08818	0.00237456
4.10822	0.00185835
4.12826	0.00309725
4.1483	0.00351022
4.16834	0.00258104
4.18838	0.00299401
4.20842	0.00278753
4.22846	0.00278753
4.2485	0.00278753
4.26854	0.00206484
4.28858	0.00299401
4.30862	0.00361346
4.32866	0.00268429
4.3487	0.00289077
4.36874	0.00227132
4.38878	0.00351022
4.40882	0.00485236
4.42886	0.00309725
4.4489	0.00351022
4.46894	0.00278753
4.48898	0.00309725
4.50902	0.00309725
4.52906	0.00258104
4.5491	0.0032005
4.56914	0.00227132
4.58918	0.00278753
4.60922	0.00206484
4.62926	0.00258104
4.6493	0.0024778
4.66934	0.00289077
4.68938	0.00361346
4.70942	0.00340698
4.72946	0.00278753
4.7495	0.00340698
4.76954	0.00278753
4.78958	0.00402643
4.80962	0.00258104
4.82966	0.00351022
4.8497	0.00392319
4.86974	0.0032005
4.88978	0.00330374
4.90982	0.00351022
4.92986	0.00268429
4.9499	0.00299401
4.96994	0.00278753
4.98998	0.00309725
5.01002	0.0032005
5.03006	0.00299401
5.0501	0.0037167
5.07014	0.00309725
5.09018	0.00268429
5.11022	0.00289077
5.13026	0.00258104
5.1503	0.00309725
5.17034	0.00412967
5.19038	0.00340698
5.21042	0.00340698
5.23046	0.00340698
5.2505	0.0032005
5.27054	0.00289077
5.29058	0.00423291
5.31062	0.0037167
5.33066	0.00299401
5.3507	0.00278753
5.37074	0.00351022
5.39078	0.00330374
5.41082	0.00351022
5.43086	0.00423291
5.4509	0.00289077
5.47094	0.00299401
5.49098	0.00309725
5.51102	0.00464588
5.53106	0.00237456
5.5511	0.00278753
5.57114	0.00227132
5.59118	0.00268429
5.61122	0.00361346
5.63126	0.00299401
5.6513	0.00330374
5.67134	0.00351022
5.69138	0.00309725
5.71142	0.00237456
5.73146	0.0032005
5.7515	0.00351022
5.77154	0.00381995
5.79158	0.00309725
5.81162	0.00309725
5.83166	0.00268429
5.8517	0.00278753
5.87174	0.00330374
5.89178	0.00309725
5.91182	0.0024778
5.93186	0.00289077
5.9519	0.00361346
5.97194	0.00299401
5.99198	0.00402643
6.01202	0.00258104
6.03206	0.00392319
6.0521	0.00227132
6.07214	0.00330374
6.09218	0.00258104
6.11222	0.0032005
6.13226	0.00227132
6.1523	0.00237456
6.17234	0.00258104
6.19238	0.00268429
6.21242	0.00278753
6.23246	0.00289077
6.25251	0.00330374
6.27255	0.00278753
6.29259	0.00351022
6.31263	0.00258104
6.33267	0.00289077
6.35271	0.00227132
6.37275	0.00361346
6.39279	0.00309725
6.41283	0.00309725
6.43287	0.00351022
6.45291	0.00237456
6.47295	0.00258104
6.49299	0.00278753
6.51303	0.00237456
6.53307	0.00330374
6.55311	0.00340698
6.57315	0.00196159
6.59319	0.00216808
6.61323	0.00278753
6.63327	0.00330374
6.65331	0.00351022
6.67335	0.00278753
6.69339	0.00351022
6.71343	0.00299401
6.73347	0.00299401
6.75351	0.00206484
6.77355	0.00278753
6.79359	0.00309725
6.81363	0.00299401
6.83367	0.00278753
6.85371	0.00330374
6.87375	0.00216808
6.89379	0.00258104
6.91383	0.00206484
6.93387	0.00278753
6.95391	0.00258104
6.97395	0.0032005
6.99399	0.00278753
7.01403	0.00340698
7.03407	0.00278753
7.05411	0.00258104
7.07415	0.00289077
7.09419	0.00206484
7.11423	0.00227132
7.13427	0.0024778
7.15431	0.00165187
7.17435	0.0024778
7.19439	0.00392319
7.21443	0.00258104
7.23447	0.00278753
7.25451	0.00268429
7.27455	0.00289077
7.29459	0.00381995
7.31463	0.00330374
7.33467	0.00237456
7.35471	0.00278753
7.37475	0.00289077
7.39479	0.00237456
7.41483	0.0032005
7.43487	0.00299401
7.45491	0.0032005
7.47495	0.00237456
7.49499	0.00185835
7.51503	0.00134214
7.53507	0.00289077
7.55511	0.00309725
7.57515	0.00206484
7.59519	0.0024778
7.61523	0.00216808
7.63527	0.00237456
7.65531	0.00206484
7.67535	0.00227132
7.69539	0.00165187
7.71543	0.00196159
7.73547	0.0024778
7.75551	0.00175511
7.77555	0.00227132
7.79559	0.00268429
7.81563	0.0032005
7.83567	0.00227132
7.85571	0.00144539
7.87575	0.00206484
7.89579	0.00185835
7.91583	0.00185835
7.93587	0.00227132
7.95591	0.00227132
7.97595	0.00196159
7.99599	0.00175511
8.01603	0.00206484
8.03607	0.00237456
8.05611	0.00227132
8.07615	0.00185835
8.09619	0.00185835
8.11623	0.00206484
8.13627	0.00258104
8.15631	0.00175511
8.17635	0.00258104
8.19639	0.00216808
8.21643	0.00154863
8.23647	0.00154863
8.25651	0.00278753
8.27655	0.00216808
8.29659	0.00185835
8.31663	0.00175511
8.33667	0.00185835
8.35671	0.00185835
8.37675	0.00227132
8.39679	0.00196159
8.41683	0.00227132
8.43687	0.00134214
8.45691	0.00237456
8.47695	0.00165187
8.49699	0.00237456
8.51703	0.00216808
8.53707	0.00185835
8.55711	0.0012389
8.57715	0.00185835
8.59719	0.00144539
8.61723	0.00144539
8.63727	0.00216808
8.65731	0.00278753
8.67735	0.00165187
8.69739	0.00154863
8.71743	0.00175511
8.73747	0.00237456
8.75752	0.00165187
8.77756	0.0012389
8.7976	0.00196159
8.81764	0.00206484
8.83768	0.00196159
8.85772	0.00309725
8.87776	0.00258104
8.8978	0.00154863
8.91784	0.00258104
8.93788	0.00206484
8.95792	0.00196159
8.97796	0.00154863
8.998	0.00227132
9.01804	0.0024778
9.03808	0.00165187
9.05812	0.000929176
9.07816	0.00165187
9.0982	0.00216808
9.11824	0.00165187
9.13828	0.00299401
9.15832	0.00185835
9.17836	0.00196159
9.1984	0.00175511
9.21844	0.00206484
9.23848	0.00154863
9.25852	0.00185835
9.27856	0.00216808
9.2986	0.0012389
9.31864	0.00175511
9.33868	0.00185835
9.35872	0.00206484
9.37876	0.0012389
9.3988	0.00154863
9.41884	0.00144539
9.43888	0.0012389
9.45892	0.00216808
9.47896	0.00185835
9.499	0.00237456
9.51904	0.00185835
9.53908	0.00237456
9.55912	0.00227132
9.57916	0.00154863
9.5992	0.00165187
9.61924	0.00185835
9.63928	0.00227132
9.65932	0.00227132
9.67936	0.000929176
9.6994	0.00144539
9.71944	0.00216808
9.73948	0.00227132
9.75952	0.00237456
9.77956	0.00237456
9.7996	0.00165187
9.81964	0.00185835
9.83968	0.00258104
9.85972	0.00175511
9.87976	0.00154863
9.8998	0.00206484
9.91984	0.000825934
9.93988	0.000929176
9.95992	0.000929176
9.97996	0.000309725
10	0
