Backscattered Energy
Energy (KeV)	Hits (Normalized)
0	0
0.0200401	0
0.0400802	0.000309725
0.0601202	0.000103242
0.0801603	0.000103242
0.1002	0
0.12024	0.000206484
0.140281	0.000103242
0.160321	0
0.180361	0.000206484
0.200401	0.000103242
0.220441	0
0.240481	0.000206484
0.260521	0
0.280561	0
0.300601	0.000309725
0.320641	0.000309725
0.340681	0.000103242
0.360721	0.000206484
0.380762	0.000103242
0.400802	0.000103242
0.420842	0.000206484
0.440882	0.000309725
0.460922	0.000309725
0.480962	0.000103242
0.501002	0.000206484
0.521042	0.000103242
0.541082	0.000103242
0.561122	0.000206484
0.581162	0.000103242
0.601202	0.000206484
0.621242	0.000516209
0.641283	0.000309725
0.661323	0.000412967
0.681363	0.000309725
0.701403	0.000722693
0.721443	0
0.741483	0.000103242
0.761523	0.000309725
0.781563	0.000206484
0.801603	0.000103242
0.821643	0.000309725
0.841683	0.000206484
0.861723	0.000412967
0.881764	0.000206484
0.901804	0.000412967
0.921844	0.000722693
0.941884	0.000309725
0.961924	0.000309725
0.981964	0.000309725
1.002	0.000412967
1.02204	0.000825934
1.04208	0.000309725
1.06212	0.000309725
1.08216	0.000309725
1.1022	0.000619451
1.12224	0.000619451
1.14228	0.000619451
1.16232	0.000412967
1.18236	0.000412967
1.2024	0.000103242
1.22244	0.000206484
1.24248	0.000619451
1.26253	0.000929176
1.28257	0.00113566
1.30261	0.000619451
1.32265	0.00103242
1.34269	0.000619451
1.36273	0.000722693
1.38277	0.000619451
1.40281	0.000825934
1.42285	0.000412967
1.44289	0.000722693
1.46293	0.000619451
1.48297	0.000929176
1.50301	0.000825934
1.52305	0.00113566
1.54309	0.00113566
1.56313	0.000722693
1.58317	0.000619451
1.60321	0.000722693
1.62325	0.00113566
1.64329	0.000412967
1.66333	0.000412967
1.68337	0.000722693
1.70341	0.00103242
1.72345	0.000722693
1.74349	0.000619451
1.76353	0.000929176
1.78357	0.00144539
1.80361	0.0012389
1.82365	0.00165187
1.84369	0.00103242
1.86373	0.000825934
1.88377	0.000722693
1.90381	0.0012389
1.92385	0.000825934
1.94389	0.000929176
1.96393	0.0012389
1.98397	0.00103242
2.00401	0.000722693
2.02405	0.000929176
2.04409	0.00103242
2.06413	0.00103242
2.08417	0.00144539
2.10421	0.00103242
2.12425	0.00196159
2.14429	0.00113566
2.16433	0.00103242
2.18437	0.000722693
2.20441	0.00165187
2.22445	0.00113566
2.24449	0.000929176
2.26453	0.0012389
2.28457	0.000619451
2.30461	0.00113566
2.32465	0.00134214
2.34469	0.00144539
2.36473	0.00185835
2.38477	0.00144539
2.40481	0.0012389
2.42485	0.00134214
2.44489	0.00144539
2.46493	0.00144539
2.48497	0.0012389
2.50501	0.00196159
2.52505	0.00113566
2.54509	0.00216808
2.56513	0.00134214
2.58517	0.00144539
2.60521	0.00144539
2.62525	0.00144539
2.64529	0.00185835
2.66533	0.00206484
2.68537	0.00206484
2.70541	0.0024778
2.72545	0.0024778
2.74549	0.00196159
2.76553	0.00134214
2.78557	0.00165187
2.80561	0.00227132
2.82565	0.00103242
2.84569	0.00196159
2.86573	0.00175511
2.88577	0.00154863
2.90581	0.00196159
2.92585	0.00144539
2.94589	0.00196159
2.96593	0.00165187
2.98597	0.00196159
